,IPOUnderpricing,OfferSize,FirmSize,CreditRating2,TopUnderwriter,TopAuditor,PeBacked,Roa,ListReq
0,157.9358215,4046.83,3.88094505,1,0,0,1,357.67,20
1,95.5,3266.75,,0,0,1,1,,20
2,52.13043594,2792.98,10.99921736,1,0,0,0,5.47,13
3,34.04447937,2293.15,9.649162884,1,1,1,1,6.25,20
4,24.07407379,1410.22,5.993736963,0,1,0,0,-69.99,20
5,22,1315.79,7.734388226,0,0,0,0,-54.78,20
6,20,1099.45,7.615401834,0,0,0,0,10.96,26
7,20,1057.65,7.886637638,0,1,1,0,-18.13,20
8,17.58064461,896.081,7.908556263,0,1,0,0,7.35,26
9,17.22222137,891.014,7.088467208,0,1,1,1,5.35,20
10,16.52941132,784.545,8.867072296,0,0,0,0,6.6,26
11,16.36363602,773.75,10.34165538,1,1,0,1,2.7,20
12,16.33333397,767.31,8.396764158,1,0,0,0,1.3,26
13,15.75,726.439,7.836792429,0,1,0,1,7.15,20
14,15.61643791,712.933,7.964746643,0,1,0,1,-2.01,20
15,14.44444466,669.102,7.265506643,0,0,0,1,3.47,20
16,14.35094261,656.626,7.512977938,0,0,0,0,10.74,26
17,13.16129017,583.191,8.125696075,0,1,0,0,4.17,26
18,12.07407379,574.179,6.383692428,0,1,0,0,14.86,20
19,12.04659176,562.897,8.859817891,1,1,1,1,1.64,20
20,11.84210491,550.561,8.019750943,1,1,0,1,-14.42,20
21,11.72027969,544.978,8.315539569,0,0,1,1,6.85,20
22,11.67567539,543.429,7.436799924,0,0,0,1,6.82,26
23,11.4285717,533.642,7.600227232,0,1,1,1,2.57,20
24,,524.318,8.417819165,1,1,0,1,1.93,20
25,11.0058527,514.934,7.109315579,0,1,1,0,-42.32,20
26,10.54545307,504.216,7.67001799,0,1,1,0,4.09,20
27,10.21276569,500.643,8.939388237,1,0,0,1,-3.89,20
28,10.20408154,496.022,8.512482112,0,0,0,1,5.44,20
29,10,481.922,6.278202424,0,1,0,0,0.28,20
30,9.878783226,471.481,7.831005736,0,0,1,1,5.64,20
31,9.714285851,460,7.805331991,0,1,0,0,1.62,16
32,9.564030647,457.801,9.172075522,0,0,0,0,1.24,17
33,8.899521828,445.449,8.388498085,0,1,0,0,-1.6,20
34,8,405.472,6.692046521,0,1,1,1,-4.02,20
35,7.894736767,405.229,8.863825072,1,1,1,0,3.08,20
36,7.884615421,404.593,8.678554952,0,1,1,1,-4.73,20
37,7.599999905,396.53,9.23407643,1,1,0,0,1.05,20
38,7.560975552,395.625,6.450470422,0,1,0,0,20.22,20
39,7.070194244,387.688,7.102425279,0,1,0,1,,20
40,7.00748539,379.754,,0,1,1,0,,20
41,6.666666508,375.438,6.802283646,0,0,0,0,0.27,17
42,6.5,374.42,7.026924021,1,0,1,0,-6.88,17
43,6.470588207,373.839,8.047285558,0,0,0,0,3.73,26
44,6.400000095,372.114,6.572422393,0,1,0,0,3.48,20
45,6.373075008,371.404,5.70687768,0,1,0,1,15.03,20
46,6.25,369.422,7.502683052,0,1,1,1,3.27,20
47,6.199999809,368.493,7.100604558,0,0,0,0,2.67,20
48,6.181818008,364.012,7.348934961,0,1,0,0,4.29,20
49,6.091954231,363.887,5.613091609,0,1,0,1,1.35,20
50,6.045591354,361.924,7.606168569,0,1,0,1,9.58,20
51,6.000003815,361.463,6.360697804,0,1,0,0,-13.36,20
52,5.990779877,360.023,8.565406046,1,0,0,0,2.97,20
53,5.954545498,357.088,8.347592777,1,1,0,0,-15.23,20
54,5.871093273,352.828,5.486372455,0,1,0,1,-3.3,20
55,5.866666794,352.46,9.17309842,1,0,1,0,0.03,20
56,5.853658676,350.527,9.778932891,1,0,1,0,1.85,17
57,5.822268009,350.102,8.253055756,0,1,0,0,3.25,20
58,5.761900425,348.844,6.156025141,0,0,0,0,7.34,26
59,5.735294342,346.154,,0,1,1,0,0.76,20
60,5.333333492,331.614,7.70100568,0,1,0,0,16.95,17
61,5.25,324.479,8.876283416,0,,0,0,2.26,13
62,5.000001431,310.495,8.912613351,1,1,1,1,1.64,20
63,5,309.334,6.361423368,0,0,1,0,,26
64,5,306.174,,0,1,0,1,-11.08,20
65,5,302.705,8.702246015,0,1,1,1,-3.23,20
66,4.999000072,299.745,5.201255654,0,1,0,1,-12.11,20
67,4.946238041,299.074,5.987356119,0,1,1,1,-2.04,20
68,4.880952358,298.195,6.838040719,0,1,1,0,-1.16,20
69,4.782608509,291.516,7.127709751,0,1,0,0,1.96,26
70,4.761911869,290.945,5.707143487,0,1,1,1,5.66,20
71,4.680850983,285.898,7.859640928,0,0,0,0,2.22,26
72,4.545454979,282.436,6.688267537,0,1,0,1,-4.79,20
73,4.545452118,281.299,,0,0,0,1,3.62,20
74,4.53125,280.932,9.492575135,0,1,1,0,2.87,20
75,4.49554348,278.907,8.234649893,1,0,1,0,-12.09,20
76,4.446115494,275.518,7.490931331,0,1,1,0,3.39,20
77,4.381973743,272.131,8.870307604,0,1,1,1,-0.82,20
78,4.360460281,272.074,5.703015514,0,1,1,1,4.86,20
79,4.261960506,271.859,6.568695698,0,1,1,1,0.75,20
80,4.1875,270.516,6.756862619,0,1,1,0,12.94,20
81,4.176520348,269.231,9.51088931,0,0,0,0,2.48,16
82,4.081632614,266.949,7.16283926,0,1,1,0,15.14,20
83,4.029303074,262.259,7.559700184,1,1,1,1,3.2,20
84,3.906248569,259.886,6.62431752,1,1,1,0,2.97,26
85,3.866778612,258.34,7.947880036,1,1,0,0,1.09,20
86,3.846153736,257.089,7.525877144,0,1,1,0,4.81,20
87,3.759394646,254.592,7.033047825,0,1,1,1,23.66,20
88,3.75,253.969,5.809042985,0,1,0,0,8.19,20
89,3.703701973,250.865,8.674352484,0,1,1,1,10.23,20
90,3.59375,250.533,7.744270934,0,1,1,0,2.36,20
91,3.534883738,249.527,7.288319586,0,1,0,1,0.97,20
92,3.183185577,245.812,8.264541012,1,1,1,1,1,20
93,3.076926947,242.96,7.348433079,0,1,1,1,-1.31,20
94,3.045450926,242.3,5.92671267,0,1,1,0,-0.77,20
95,3.028571367,241.756,6.156873048,0,,0,1,20.84,20
96,3,240.985,7.438177626,0,1,1,1,1.55,20
97,2.884615421,240.654,4.624972813,0,1,0,0,-0.91,20
98,2.830188751,238.712,7.065357139,0,1,1,1,17.18,20
99,2.8125,238.201,6.499606573,0,1,1,1,1.28,20
100,2.790697575,237.497,6.744718568,0,0,1,1,2.71,17
101,2.744098902,235.312,7.146472922,0,1,1,1,1.48,20
102,2.654299736,231.527,6.199839579,0,0,1,1,-5.43,20
103,2.597014904,231.353,7.776648277,1,0,0,0,0.89,26
104,2.594735146,231.162,10.25380986,1,0,0,0,1.71,13
105,2.553191423,228.536,7.911877385,1,1,0,1,-6.85,20
106,2.549999952,227.76,5.697697331,0,1,0,1,14.05,20
107,2.5,224.482,6.897139127,0,0,0,1,,20
108,2.486486435,223.103,8.108827882,0,1,1,1,3.38,20
109,2.333333254,219.794,6.062528606,0,1,1,1,-5.92,20
110,2.266666651,218.372,7.519567667,1,1,1,0,5.21,20
111,2.241375923,216.571,8.21757618,0,0,0,0,2.12,17
112,2.222220421,216.433,6.92096761,0,1,1,0,19.97,20
113,2.151636839,215.376,6.697009556,0,1,1,1,13.17,20
114,2.058823586,213.485,5.956769577,0,1,1,1,-51.45,20
115,2.053601742,212.792,6.892804065,0,1,0,0,-21.38,20
116,2.052631617,211.577,6.032150532,0,1,0,0,17.89,20
117,1.947669864,211.305,8.484496431,0,1,0,0,5.94,22
118,1.923076868,210.808,8.269131752,1,0,1,0,-1.42,26
119,1.907132268,208.411,6.615074065,0,1,0,0,3.31,20
120,1.90476191,207.671,8.196150111,0,1,1,0,5.38,20
121,1.867701292,207.61,5.876867057,0,,0,0,18.21,20
122,1.704543233,203.168,6.511388654,0,1,0,1,1.44,26
123,1.679999948,201.19,7.967141521,0,1,1,1,-2.29,20
124,1.666665077,200.103,5.529190964,0,1,1,1,9.03,20
125,1.651839852,199.014,7.710317246,0,1,1,1,4.01,20
126,1.612902403,190.865,8.817965709,0,,0,0,1.69,26
127,1.569713712,187.507,7.657429285,1,1,1,1,-26.23,20
128,1.445783138,177.146,6.854691998,0,0,1,1,-3.06,20
129,1.433693171,176.375,6.245544592,0,1,0,1,1.95,20
130,1.428571463,172.075,7.208178339,0,0,0,1,6.61,26
131,1.354403496,169.222,7.131682523,0,1,1,1,0.25,20
132,1.265821576,164.794,6.03207852,0,1,1,1,1.73,20
133,1.26581955,162.701,6.537749009,0,1,0,1,-2.89,20
134,1.249998808,159.549,4.898511216,0,1,1,1,3.21,20
135,1.24999845,158.961,5.429433344,0,0,0,0,8.48,20
136,1,153.666,5.146039931,0,1,1,1,13.43,20
137,1,151.423,7.4625308,1,0,0,1,1.77,20
138,0.999999046,151.358,5.071793107,0,0,1,0,-7.1,20
139,0.825743377,146.087,7.309513525,0,1,0,0,5.57,20
140,0.806454718,145.577,7.228018281,1,1,1,0,-8.38,20
141,0.740740717,144.385,,0,,0,0,-5.54,20
142,0.666666687,130.057,7.198639718,1,0,0,0,,20
143,0.66406101,127.456,8.948815855,0,0,0,0,1.01,13
144,0.657749236,126.045,8.780659925,0,1,1,0,8.63,20
145,0.625,125.061,7.644000262,0,1,1,1,-0.1,20
146,0.606060624,121.826,9.074091003,1,0,0,0,0.98,26
147,0.545454562,120.831,6.121746917,0,0,0,0,-1.3,13
148,0.483519167,117.733,9.752118002,0,,0,0,3.04,20
149,0.454545468,117.596,7.554198617,0,0,0,0,4.23,20
150,0.342857152,115.008,9.044375512,0,1,1,0,4.09,20
151,0.246908858,111.023,7.034731483,0,1,0,0,11.22,22
152,0.098360658,106.232,7.624399235,0,1,1,0,5.07,22
153,3.08E-06,102.018,6.912762721,0,,0,0,,20
154,2.52E-06,98.7979,7.260501516,0,0,1,0,3.32,17
155,1.44E-06,95.673,6.191605557,0,0,0,0,2.88,17
156,0,87.3398,5.766506851,0,0,1,0,1.65,17
157,0,85.7534,6.509722483,0,0,0,0,6.62,26
158,0,78,5.635467944,0,,0,0,13.97,22
159,0,77.733,7.99407229,0,,0,0,14.28,22
160,0,74.9966,6.297311878,0,0,1,0,0.46,20
161,0,72.9854,7.152777732,0,0,0,1,-0.2,20
162,0,69.3433,5.917629615,0,0,0,0,-0.67,22
163,0,67.234,8.007107294,0,0,0,0,1.04,26
164,0,67.1131,8.264440587,1,0,1,0,-32.3,26
165,-0.070270851,16.2249,8.025186051,0,,0,0,12.35,26
166,-0.259740263,15.1825,2.554899022,0,,0,0,,26
167,-0.271740943,15.0628,2.876948738,0,,0,0,3.93,26
168,-0.384615392,13.0216,6.289455797,0,,0,0,0.72,26
169,-0.4375,12.9726,6.583754944,1,0,0,0,0.81,16
170,-0.583402753,11.8136,3.588782838,0,0,0,0,-6.15,20
171,-0.660130739,10.9765,7.305564489,0,1,1,0,2.35,17
172,-0.675005257,10.9154,4.670676988,0,,0,0,0.9,26
173,-0.773193896,10.7726,4.662306377,0,,0,0,4.4,17
174,-0.791364193,10.4304,,0,,0,0,3.95,26
175,-0.833333314,10.1095,,0,,0,0,1.56,26
176,-0.90322578,10.0347,,0,,0,0,-8.75,26
177,-1.039999962,9.60961,3.86220231,0,0,0,0,-6.55,20
178,-1.083031774,9.03992,3.356897123,0,,0,0,10.48,22
179,-1.172413826,7.07143,5.556132839,0,,0,0,-0.04,26
180,-1.190355062,6.4077,2.583242551,0,,0,0,3.34,22
181,-1.277777791,6.31607,3.740997408,0,,0,0,10.64,26
182,-1.359632969,4.75446,,0,,0,0,,26
183,-1.489361644,1.65515,,0,0,0,0,,22
184,-2.209306717,0,10.87909947,0,,0,0,1.11,17
185,-2.807773829,0,,0,0,1,0,,16
186,-2.857142925,0,3.596215769,0,1,0,0,-75.72,22
187,-2.885002136,0,4.423888089,0,,0,0,-16.27,22
188,-4,0,8.982221967,1,,0,0,5.49,13
189,-4.545454502,0,8.531194711,1,,0,0,4.76,20
190,491.1330261,1462.55,8.04389775,0,0,1,0,6.68,20
191,193,1096.87,8.693080761,0,0,1,0,1.14,20
192,129.8195953,957.287,8.600714151,0,0,0,0,,20
193,119.0534058,910.834,8.373419814,0,0,0,0,-2.39,20
194,100,850.987,8.563271109,0,0,0,0,6.97,17
195,82.40000153,769.042,12.9790402,0,1,0,0,3.63,20
196,52.58445358,624.511,12.82031189,0,0,0,0,1.02,20
197,33.67282104,493.476,7.274243911,0,0,0,0,,20
198,30.83083534,436.11,1.208960346,0,0,0,0,0.72,26
199,30.48780823,430.953,5.878239856,0,1,1,0,16.14,22
200,22.72727203,381.823,-3.912023005,0,1,0,1,,26
201,11.56334686,240.405,7.796411676,0,1,0,1,3.44,20
202,10.56164074,228.274,6.986834446,0,0,0,1,5.03,20
203,10.32435703,223.611,8.14222625,0,0,0,0,7.66,17
204,4.083333492,116.386,10.05839081,0,1,0,1,2.45,17
205,3.164847851,100.535,6.432731068,0,,0,0,-15.31,20
206,0.100000002,50,5.561104618,0,0,0,0,,26
207,0,29.3548,8.558079824,0,1,0,0,,20
208,-3.09E-06,0.00768018,8.365495501,0,1,0,0,6.92,17
,prueba,,,,,,,,
